name;value;description;model_type_class
product_id;1;ID Стандартного продукта;App\Models\Product\Product
supply_order_number;1;Порядковый номер Поставки;null
score_for_payment_order_number;1;Порядковый номер счета;null
one_t_form_order_number;1;Порядковый номер формы 1-Т;null
